Report,Waterfall,Time,Weight,Beta,Browser,"Browser Major",Cohort,Colo,"Connection Speed",Country,"Global City","Is Https",Locale,"Logged In",Major,Page,"Page Type",Platform,"Rendering Engine","Rendering Engine Version","Site Category","Svn Revision",Valid,"Valid Record",Vip,"Zip Code",Hits,"Server Time","Flush Time Early","Network Time",TTI,"e2e Time","JS Orig Bytes","JS File Bytes","JS Pkg Bytes","JS Packages","CSS Orig Bytes","CSS File Bytes","CSS Pkg Bytes","CSS Packages","HTML Bytes","HTML Bytes (gz)","Cookie Bytes","Zoom Level",ip,id,server,uid
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",10000,prod,Firefox,"Firefox 7",9999,snc5c02,broadband,PH,1746877,no,en_US,yes,7,SafetyAttachmentController,NORMAL,Win7,Gecko,7.0.1,453330,Firefox,"Firefox 7",snc5c02,prod,no,7,Win7,no,66.220.149.67,NORMAL,SafetyAttachmentController,no,9999,1746877,-,PH,yes,en_US,broadband,7.0.1,Gecko,1892044422,5659874136624018932,10.42.45.63,100001573001714,10.42.45.63,100001573001714
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",749,prod,"Openwave Mobile Browser","Openwave Mobile Browser 0",9999,prn1c01,broadband,ZA,2633588,no,en_US,yes,0,/wap/profile.php,MOBILE_WAP,unknown,Unknown,0,453330,"Openwave Mobile Browser","Openwave Mobile Browser 0",prn1c01,prod,yes,0,unknown,yes,69.171.224.52,MOBILE_WAP,/wap/profile.php,no,9999,2633588,m_basic,ZA,yes,en_US,broadband,0,Unknown,3316466305,5659874136770914792,10.54.226.49,100002526090047,10.54.226.49,100002526090047
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",112,prod,336,693,903,13669,57893,62645,5,7298,10511,16903,3,43558,13737,104,Gecko,6.0.2,453330,Firefox,"Firefox 6",snc5c02,prod,yes,6,WinXP,yes,66.220.149.25,NORMAL,/index.php,no,9999,962899,5,ID,no,id_ID,broadband,6.0.2,Gecko,3036523882,5659874137057321752,10.43.109.53,0,10.43.109.53,0
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",82,prod,4797,5027,12788,4374,56454,US,2508030,2931,7668,yes,0,34620,9330,109,WebKit,533.17.9,453330,"Facebook for iOS","Facebook for iOS 0",prn1c05,prod,yes,0,"iPhone OSX",yes,69.171.228.12,NORMAL,/plugins/like.php,no,9999,2508030,-,US,yes,en_US,mobile,533.17.9,WebKit,3336888741,5659874137091683110,10.62.124.36,7718718,10.62.124.36,7718718
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",10000,prod,Android,"Android 2",9999,prn1c01,xdsl,US,2425398,no,en_US,yes,2,/wap/stories.php,MOBILE_WAP,Android,WebKit,533.1,453330,Android,"Android 2",prn1c01,prod,no,2,Android,no,69.171.224.26,MOBILE_WAP,/wap/stories.php,no,9999,2425398,m_touch,US,yes,en_US,xdsl,533.1,WebKit,1287976298,5659874137222015247,10.55.22.49,586492820,10.55.22.49,586492820
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",43,prod,170,2974,3068,9592,66917,122004,3,7516,13146,40744,2,21270,6576,29,Trident,4.0,453330,IE,"IE 8",ash4c01,prod,yes,8,Win7,yes,66.220.158.53,NORMAL,/plugins/likebox.php,no,9999,122004,3,GB,no,en_US,xdsl,4.0,Trident,1603437839,5659874137263503054,10.53.53.57,0,10.53.53.57,0
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",1570,18,608,15986,23139,85038,223077,204208,14,28560,43376,34909,8,349238,72853,653,Gecko,7.0.1,453330,Firefox,"Firefox 7",prn1c06,prod,yes,7,WinXP,yes,69.171.229.15,NORMAL,/home.php,no,9999,1536363,14,MX,yes,es_LA,broadband,7.0.1,Gecko,3383558529,5659874137287481481,10.64.231.45,674078086,10.64.231.45,674078086
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",34,prod,206,247,389,4374,56454,US,2494263,2931,7668,yes,14,33982,9215,293,WebKit,27858,453330,Chrome,"Chrome 14",prn1c06,prod,yes,14,Win7,yes,69.171.229.15,NORMAL,/plugins/like.php,no,9999,2494263,-,US,yes,en_US,cable,535.1,WebKit,1265500664,5659874137375915430,10.64.205.46,1493252028,10.64.205.46,1493252028
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",79,prod,302,10287,10444,7303,52748,122004,3,3913,6275,36492,1,/plugins/activity.php,NORMAL,0,Trident,4.0,453330,IE,"IE 8",snc5c02,prod,yes,8,WinXP,yes,66.220.149.32,NORMAL,/plugins/activity.php,no,9999,962899,3,ID,no,en_US,broadband,4.0,Trident,3398703730,5659874137407389428,10.43.16.81,0,10.43.16.81,0
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",10000,prod,Safari,"Safari 5",9999,prn1c06,cable,CA,293225,no,en_US,no,5,/plugins/like.php,NORMAL,MacOSX,WebKit,534.50.2,453330,Safari,"Safari 5",prn1c06,prod,no,5,MacOSX,no,69.171.229.15,NORMAL,/plugins/like.php,no,9999,293225,-,CA,no,en_US,cable,534.50.2,WebKit,1150622246,5659874140104968075,10.64.249.51,0,10.64.249.51,0
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",10000,prod,IE,"IE 8",9999,ash3c02,broadband,PL,1846646,no,pl_PL,yes,8,/plugins/like.php,NORMAL,WinXP,Trident,4.0,453330,IE,"IE 8",ash3c02,prod,no,8,WinXP,no,69.171.242.40,NORMAL,/plugins/like.php,no,9999,1846646,-,PL,yes,pl_PL,broadband,4.0,Trident,1046047538,5659874140290270682,10.151.16.35,100001451652514,10.151.16.35,100001451652514
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",3532,40,250,1212,6046,100721,247769,203447,14,35710,55809,35789,10,421413,83898,191,Trident,4.0,453330,IE,"IE 8",prn1c01,prod,yes,8,WinVista,yes,250,NORMAL,/home.php,yes,9999,2542527,14,US,yes,en_US,cable,4.0,Trident,1267445840,5659874140307471778,10.54.205.30,100000191331809,10.54.205.30,100000191331809
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",27,prod,784,6407,7543,4374,56454,US,2442114,3098,7883,no,3,32830,8947,62,Gecko,1.9.1.7,453330,Firefox,"Firefox 3",prn1c05,prod,yes,3,WinVista,yes,69.171.228.12,NORMAL,/plugins/like.php,no,9999,2442114,-,US,no,en_US,cable,1.9.1.7,Gecko,1612435395,5659874140311540539,10.62.90.48,0,10.62.90.48,0
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",56,prod,1929,2946,6087,4374,56523,HU,931021,4497,8145,yes,3,37283,10278,314,Gecko,1.9.2,453330,Firefox,"Firefox 3",ash2c03,prod,yes,3,Win7,yes,66.220.153.11,NORMAL,/plugins/like.php,no,9999,931021,-,HU,yes,hu_HU,t1,1.9.2,Gecko,3252723450,5659874140774000945,10.144.25.128,100001279214496,10.144.25.128,100001279214496
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",871,prod,Safari,"Safari 0",9999,snc5c02,mobile,IN,1023040,no,en_US,yes,0,/wap/home.php,MOBILE_WAP,SymbianOS,WebKit,533.4,453330,Safari,"Safari 0",snc5c02,prod,yes,0,SymbianOS,yes,66.220.149.19,MOBILE_WAP,/wap/home.php,no,9999,1023040,m_basic,IN,yes,en_US,mobile,533.4,WebKit,456655986,5659874140834505289,10.42.187.79,100002143621125,10.42.187.79,100002143621125
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",978,prod,"Access NetFront","Access NetFront 3",9999,prn1c06,mobile,ID,994587,no,id_ID,yes,3,/wap/home.php,MOBILE_WAP,unknown,Unknown,0,453330,"Access NetFront","Access NetFront 3",prn1c06,prod,yes,3,unknown,yes,69.171.229.31,MOBILE_WAP,/wap/home.php,no,9999,994587,m_basic,ID,yes,id_ID,mobile,0,Unknown,3410917646,5659874141814442736,10.64.129.49,100001623978051,10.64.129.49,100001623978051
1317792139,10000,"Tue, Oct 04 2011, 10:22:19 PM",10000,prod,Nokia,"Nokia 0",9999,snc5c02,mobile,TR,2287001,no,tr_TR,yes,0,MMessagingReadController,MOBILE_WAP,unknown,Unknown,0,453330,Nokia,"Nokia 0",snc5c02,prod,no,0,unknown,no,66.220.149.85,MOBILE_WAP,MMessagingReadController,no,9999,2287001,m_zero,TR,yes,tr_TR,mobile,0,Unknown,3158046955,5659874142014494536,10.42.215.45,100001178942712,10.42.215.45,100001178942712
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",10000,prod,Android,"Android 2",9999,snc5c02,mobile,US,2491566,no,en_US,yes,2,/wap/root.php,MOBILE_WAP,Android,WebKit,11789,453330,Android,"Android 2",snc5c02,prod,no,2,Android,no,66.220.149.24,MOBILE_WAP,/wap/root.php,no,9999,2491566,m_faceweb_android,US,yes,en_US,mobile,533.1,WebKit,3100159882,5659874144462660998,10.43.87.47,100000841116598,10.43.87.47,100000841116598
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",10000,prod,Android,"Android 2",9999,ash2c03,mobile,GB,812057,no,en_GB,yes,2,/wap/story.php,MOBILE_WAP,Android,WebKit,"sw1a 2",453095,Android,"Android 2",ash2c03,prod,no,2,Android,no,66.220.153.13,MOBILE_WAP,/wap/story.php,no,9999,812057,m_faceweb_android,GB,yes,en_GB,mobile,533.1,WebKit,527116366,5659874144796635360,10.144.38.110,100000923919920,10.144.38.110,100000923919920
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",97,prod,441,559,559,4792,25525,36263,3,6535,7079,9022,1,12658,3777,200,WebKit,533.1,453330,Android,"Android 2",prn1c01,prod,yes,2,Android,yes,69.171.224.24,MOBILE_WAP,/wap/photo.php,no,9999,2418214,m_touch,US,yes,en_US,mobile,533.1,WebKit,1113014280,5659874144837667504,10.54.102.63,1467775153,10.54.102.63,1467775153
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",107,prod,"Access NetFront","Access NetFront 3",9999,prn1c01,mobile,ID,994587,no,id_ID,yes,3,/wap/story.php,MOBILE_WAP,unknown,Unknown,0,453330,"Access NetFront","Access NetFront 3",prn1c01,prod,yes,3,unknown,yes,69.171.224.23,MOBILE_WAP,/wap/story.php,no,9999,994587,m_zero,ID,yes,id_ID,mobile,0,Unknown,3410917396,5659874144884445014,10.54.64.51,100001420073150,10.54.64.51,100001420073150
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",35,prod,412,1838,1900,4374,56659,KR,1280954,3171,8074,no,8,33861,9209,0,Trident,135600,453330,IE,"IE 8",snc4c04,prod,yes,8,WinXP,yes,66.220.147.33,NORMAL,/plugins/like.php,no,9999,1280954,-,KR,no,ko_KR,broadband,4.0,Trident,3076565584,5659874145357569480,10.36.199.107,0,10.36.199.107,0
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",144,prod,"Opera Mini","Opera Mini 4",9999,ash2c03,mobile,NO,1665124,no,id_ID,yes,4,/wap/story.php,MOBILE_WAP,JAVA,Presto,2.5.25,453330,"Opera Mini","Opera Mini 4",ash2c03,prod,yes,4,JAVA,yes,66.220.153.25,MOBILE_WAP,/wap/story.php,no,9999,1665124,m_basic,NO,yes,id_ID,mobile,2.5.25,Presto,2365590099,5659874145883187086,10.145.12.106,100000461312787,10.145.12.106,100000461312787
1317792140,10000,"Tue, Oct 04 2011, 10:22:20 PM",10000,prod,Googlebot,"Googlebot 2",9999,snc4c02,broadband,US,2420838,no,en_US,no,2,/profile.php,NORMAL,unknown,Unknown,0,453095,Googlebot,"Googlebot 2",snc4c02,prod,no,2,unknown,no,66.220.146.43,NORMAL,/profile.php,no,9999,2420838,-,US,no,en_US,broadband,0,Unknown,1123632038,5659874146184220114,10.32.121.111,0,10.32.121.111,0
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",10000,prod,"Access NetFront","Access NetFront 3",9999,prn1c06,broadband,NI,1646894,no,es_LA,yes,3,/wap/story.php,MOBILE_WAP,unknown,Unknown,0,453330,"Access NetFront","Access NetFront 3",prn1c06,prod,no,3,unknown,no,69.171.229.30,MOBILE_WAP,/wap/story.php,no,9999,1646894,m_basic,NI,yes,es_LA,broadband,0,Unknown,3359533678,5659874148782274255,10.64.76.52,100000021674433,10.64.76.52,100000021674433
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",995,16,962,1884,22582,67793,221209,194811,14,24607,42972,33255,7,279853,56701,442,Gecko,1.9.2,453330,Firefox,"Firefox 3",prn1c01,prod,yes,3,WinXP,yes,69.171.224.39,NORMAL,/media/set/index.php,no,9999,989399,14,ID,yes,id_ID,broadband,1.9.2,Gecko,1029607906,5659874148853341906,10.54.153.57,100001616198021,10.54.153.57,100001616198021
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",1269,prod,478,7058,7531,17470,59722,53169,7,10236,12371,9022,1,68073,12618,373,WebKit,1010,453095,Android,"Android 2",ash2c02,prod,yes,2,Android,yes,69.63.190.16,MOBILE_WAP,/wap/home.php,no,9999,105166,m_touch,AT,yes,de_DE,mobile,533.1,WebKit,3157081102,5659874149044245540,10.140.138.119,1539665613,10.140.138.119,1539665613
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",58,prod,1129,6893,13757,13301,57499,62503,5,7105,10398,16919,3,40252,12884,115,Trident,4.0,453330,IE,"IE 8",prn1c01,prod,yes,8,Win7,yes,69.171.224.13,NORMAL,/index.php,no,9999,2541654,5,US,no,en_US,mobile,4.0,Trident,3493210020,5659874149166565255,10.54.200.33,0,10.54.200.33,0
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",30,prod,315,615,654,4374,56512,BR,-,3098,7883,no,3,32874,8945,2521,Gecko,85500000,453330,Firefox,"Firefox 3",ash2c02,prod,yes,3,Win7,yes,69.63.190.10,NORMAL,/plugins/like.php,no,9999,-,-,BR,no,pt_BR,xdsl,1.9.2,Gecko,3175772303,5659874149178892719,10.140.15.127,0,10.140.15.127,0
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",1020,prod,"Opera Mini","Opera Mini 5",9999,snc4c02,mobile,NO,1665124,no,es_LA,yes,5,MProfileController,MOBILE_WAP,JAVA,Presto,2.5.25,453095,"Opera Mini","Opera Mini 5",snc4c02,prod,yes,5,JAVA,yes,66.220.146.31,MOBILE_WAP,MProfileController,no,9999,1665124,m_basic,NO,yes,es_LA,mobile,2.5.25,Presto,2365589804,5659874149301421035,10.32.212.125,100001475893481,10.32.212.125,100001475893481
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",1442,23,222,1289,3762,92647,247175,205708,15,34902,54237,35126,9,369422,75917,338,Gecko,1.9.2,453330,Firefox,"Firefox 3",snc5c02,prod,yes,3,WinXP,yes,66.220.149.18,NORMAL,/home.php,no,9999,2590027,15,VN,yes,en_US,broadband,1.9.2,Gecko,1934525188,5659874149654503636,10.42.166.100,658592643,10.42.166.100,658592643
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",1759,10,381,2951,3738,99511,246139,205708,15,36500,56763,36218,10,464052,94867,1666,WebKit,530.19.2,453330,Safari,"Safari 4",prn1c01,prod,yes,4,MacOSX,yes,69.171.224.40,NORMAL,/home.php,no,9999,2421912,15,US,yes,en_US,broadband,530.19.2,WebKit,1176798774,5659874149661320845,10.54.85.44,699322210,10.54.85.44,699322210
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",44,prod,339,2090,6363,4374,56454,RU,1983489,4328,7981,yes,12,34756,9587,153,WebKit,420073,453330,Chrome,"Chrome 12",prn1c01,prod,yes,12,WinXP,yes,69.171.224.13,NORMAL,/plugins/like.php,no,9999,1983489,-,RU,yes,en_US,broadband,534.30,WebKit,2999714049,5659874149685529830,10.54.188.64,100002643434904,10.54.188.64,100002643434904
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",10000,prod,"Facebook for iOS","Facebook for iOS 0",9999,prn1c01,mobile,US,2430536,no,en_US,yes,0,/wap/stories.php,MOBILE_WAP,"iPhone OSX",WebKit,533.17.9,453330,"Facebook for iOS","Facebook for iOS 0",prn1c01,prod,no,0,"iPhone OSX",no,69.171.224.26,MOBILE_WAP,/wap/stories.php,no,9999,2430536,m_faceweb_iphone,US,yes,en_US,mobile,533.17.9,WebKit,2793999060,5659874149727112330,10.55.6.34,1647237049,10.55.6.34,1647237049
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",1011,20,3156,4231,6554,84758,223096,205069,14,27677,42494,34896,8,391131,73376,195,Gecko,7.0.1,453330,Firefox,"Firefox 7",prn1c06,prod,yes,7,WinXP,yes,69.171.229.14,NORMAL,/home.php,no,9999,612127,14,TW,yes,zh_TW,t1,7.0.1,Gecko,2019622663,5659874149756128143,10.64.202.46,100000592501957,10.64.202.46,100000592501957
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",10000,prod,"Default Browser","Default Browser 0",9999,snc4c04,broadband,RU,2020916,no,ru_RU,no,0,/wap/login.php,MOBILE_WAP,unknown,Unknown,0,453095,"Default Browser","Default Browser 0",snc4c04,prod,no,0,unknown,no,66.220.147.12,MOBILE_WAP,/wap/login.php,no,9999,2020916,m_basic,RU,no,ru_RU,broadband,0,Unknown,1540610482,5659874149854854552,10.36.92.131,0,10.36.92.131,0
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",10000,prod,Firefox,"Firefox 3",9999,prn1c06,xdsl,IN,1023040,no,en_US,no,3,/plugins/likebox.php,NORMAL,WinVista,Gecko,1.9.2,453330,Firefox,"Firefox 3",prn1c06,prod,no,3,WinVista,no,69.171.229.13,NORMAL,/plugins/likebox.php,no,9999,1023040,-,IN,no,en_US,xdsl,1.9.2,Gecko,2058217788,5659874150080586862,10.64.146.42,0,10.64.146.42,0
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",39,prod,320,602,1374,5266,56908,DE,542609,4616,8269,no,5,35182,9523,291,WebKit,534.50.2,453330,Safari,"Safari 5",prn1c06,prod,yes,5,MacOSX,yes,69.171.229.14,NORMAL,/plugins/like.php,no,9999,542609,-,DE,no,de_DE,cable,534.50.2,WebKit,2987999829,5659874150359405560,10.64.216.33,0,10.64.216.33,0
1317792141,10000,"Tue, Oct 04 2011, 10:22:21 PM",88,prod,343,1725,2766,13403,57727,62865,5,7177,10376,16825,3,43920,14157,72,WebKit,535.1,453330,Chrome,"Chrome 14",ash2c01,prod,yes,14,WinVista,yes,69.63.189.34,NORMAL,/index.php,no,9999,2311462,5,TR,no,tr_TR,xdsl,535.1,WebKit,1492110414,5659874150611286208,10.136.244.113,0,10.136.244.113,0
1317792142,10000,"Tue, Oct 04 2011, 10:22:22 PM",10000,prod,Android,"Android 2",9999,prn1c01,wireless,US,2529551,no,en_US,yes,2,/wap/home.php,MOBILE_WAP,Android,WebKit,533.1,453095,Android,"Android 2",prn1c01,prod,no,2,Android,no,69.171.224.26,MOBILE_WAP,/wap/home.php,no,9999,2529551,m_touch,US,yes,en_US,wireless,533.1,WebKit,2928529509,5659874152820460326,10.55.3.57,1723875513,10.55.3.57,1723875513
1317792142,10000,"Tue, Oct 04 2011, 10:22:22 PM",10000,prod,"Facebook for iOS","Facebook for iOS 0",9999,snc5c02,broadband,DE,576667,no,de_DE,yes,0,/wap/a/comment.php,MOBILE_WAP,"iPhone OSX",WebKit,45768,453330,"Facebook for iOS","Facebook for iOS 0",snc5c02,prod,no,0,"iPhone OSX",no,66.220.149.24,MOBILE_WAP,/wap/a/comment.php,no,9999,576667,m_faceweb_iphone,DE,yes,de_DE,broadband,533.17.9,WebKit,1529620028,5659874152897750664,10.43.91.21,1675218223,10.43.91.21,1675218223
1317792142,10000,"Tue, Oct 04 2011, 10:22:22 PM",1413,48,182,925,1822,78966,224794,190011,14,27998,44914,29388,8,301447,65255,426,WebKit,533.21.1,453095,Safari,"Safari 5",ash4c01,prod,yes,5,MacOSX,yes,182,NORMAL,/profile.php,yes,9999,172964,14,BE,yes,fr_FR,xdsl,533.21.1,WebKit,1837219722,5659874153021974961,10.52.29.81,771537766,10.52.29.81,771537766
1317792142,10000,"Tue, Oct 04 2011, 10:22:22 PM",37,prod,279,456,488,4374,56750,JP,1213341,4391,8255,no,8,35699,9864,33,Trident,374-0000,453330,IE,"IE 8",prn1c06,prod,yes,8,WinVista,yes,69.171.229.15,NORMAL,/plugins/like.php,no,9999,1213341,-,JP,no,ja_JP,broadband,4.0,Trident,2053589810,5659874153075052727,10.64.237.58,0,10.64.237.58,0
1317792142,10000,"Tue, Oct 04 2011, 10:22:22 PM",46,prod,426,509,1249,4374,56514,CO,474037,4444,8097,yes,14,35641,9920,538,WebKit,535.1,453330,Chrome,"Chrome 14",ash4c01,prod,yes,14,Win7,yes,66.220.158.18,NORMAL,/plugins/like.php,no,9999,474037,-,CO,yes,es_ES,broadband,535.1,WebKit,3204183503,5659874153173005875,10.52.158.37,100000456184010,10.52.158.37,100000456184010
1317792142,10000,"Tue, Oct 04 2011, 10:22:22 PM",10000,prod,Android,"Android 2",9999,prn1c06,mobile,ID,951390,no,id_ID,yes,2,/wap/stories.php,MOBILE_WAP,Android,WebKit,17133,453330,Android,"Android 2",prn1c06,prod,no,2,Android,no,69.171.229.34,MOBILE_WAP,/wap/stories.php,no,9999,951390,m_touch,ID,yes,id_ID,mobile,533.1,WebKit,3395102041,5659874153642125556,10.65.19.33,100001329053415,10.65.19.33,100001329053415
